model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,maker
Subaru Forester 2.0i-L Sunroof,65102,16045,4/28/2017,2017,92061,1208,Auto,25157,14556,50621,14556,1995,110,1591,SUV,SOLD,SUBARU
Toyota Mark X 2.5A (COE till 05/2026),44000,14090,6/8/2006,2006,172000,2697,Auto,14369,29495,46048,32445,2499,158,1500,Luxury Sedan,AVAIL,TOYOTA
Kia Cerato 1.6A SX,89800,14430,11/19/2018,2018,21725,738,Auto,29552,18186,28457,18186,1591,94,1287,Mid-Sized Sedan,AVAIL,KIA
BMW 3 Series 320i Efficient Dynamics,47800,19800,11/28/2014,2014,103200,742,Auto,29131,35428,73900,31600,1598,125,1410,Luxury Sedan,AVAIL,BMW
Kia Cerato Forte 1.6A SX (COE till 03/2024),10800,11300,10/9/2009,2009,153267,1033,Auto,2434,13930,12763,13930,1591,93,1251,Mid-Sized Sedan,AVAIL,KIA
BMW 3 Series 318i M-Sport,123800,19030,8/17/2018,2018,90000,684,Auto,51703,37489,34381,44485,1499,100,1425,Luxury Sedan,AVAIL,BMW
Honda Fit 1.3A G (COE till 08/2023),23884,11510,8/14/2008,2008,151284,885,Auto,6904,11667,17099,11667,1339,73,1010,Hatchback,SOLD,HONDA
Mazda CX-3 2.0A Standard,89800,12390,10/29/2019,2018,74000,1210,Auto,36739,17631,37912,17631,1998,115,1290,SUV,AVAIL,MAZDA
Mitsubishi Fuso Fighter FK62,57800,24310,9/2/2015,2015,109620,821,Manual,9512,48501,40046,2426,7545,95,5620,Truck,AVAIL,MITSUBISHI
Land Rover Defender 90,118888,31350,1/31/2017,2015,129000,930,Manual,18808,55225,49638,2762,2198,98,1760,Truck,AVAIL,LAND-ROVER
Volkswagen Passat 1.8A TFSI,96800,14120,11/30/2018,2018,89000,976,Auto,44037,30535,32000,34749,1798,132,1480,Luxury Sedan,AVAIL,VOLKSWAGEN
Toyota Rush 1.5A X (COE till 08/2025),14625,17760,9/1/2010,2009,154495,887,Auto,2863,18938,16095,18938,1495,80,1160,SUV,SOLD,TOYOTA
BMW 4 Series 428i Convertible Luxury,86763,22935,1/12/2015,2014,107475,1210,Auto,44640,52076,73900,60737,1997,180,1700,Sports Car,SOLD,BMW
Porsche Taycan Electric 4S,603800,59630,12/16/2021,2020,4200,6057,Auto,193446,131551,85000,173792,2755,420,2215,Sports Car,AVAIL,PORSCHE
BMW X1 sDrive18i Sunroof (COE till 09/2031),99888,11810,9/30/2011,2011,93000,1450,Auto,49143,29893,58124,29893,1995,110,1455,SUV,AVAIL,BMW
Subaru Levorg 1.6A GT-S,75800,15970,3/7/2017,2016,95000,744,Auto,37501,25313,50621,27439,1600,125,1630,Stationwagon,AVAIL,SUBARU
Honda Civic 1.6A VTi,90715,13312,8/7/2019,2019,67110,742,Auto,29990,20084,26667,20118,1597,92,1237,Mid-Sized Sedan,SOLD,HONDA
Audi S5 Cabriolet 3.0A TFSI Quattro (COE till 04/2031),160000,19900,3/21/2012,2011,44000,2856,Auto,38034,79368,47316,79368,2995,245,1880,Sports Car,AVAIL,AUDI
Maserati GranTurismo Sport 4.7A,185800,48020,1/8/2015,2013,50800,5030,Auto,125475,129761,72003,205570,4691,338,1880,Sports Car,AVAIL,MASERATI
Volkswagen Golf 1.4A TSI (COE till 04/2024),12800,12660,4/21/2009,2009,168418,868,Auto,2639,24314,13088,24314,1390,118,1286,Hatchback,AVAIL,VOLKSWAGEN
Mitsubishi Attrage 1.2A,61800,11980,3/29/2018,2017,68000,506,Auto,23292,13554,40000,5000,1193,59,940,Mid-Sized Sedan,AVAIL,MITSUBISHI
Ford Sierra XR4I (COE till 10/2031),75800,8790,10/29/2021,1983,58888,280,Manual,5171,7154,6059,7154,2792,110,1175,Sports Car,AVAIL,FORD
Mercedes-Benz S-Class S320L,318000,33050,12/10/2020,2020,30000,2382,Auto,128437,87882,40301,130188,2996,200,1940,Luxury Sedan,AVAIL,MERCEDES-BENZ
Porsche Macan 2.0A PDK,230000,39470,12/19/2017,2017,32200,1194,Auto,90464,66107,57501,90993,1984,185,1845,SUV,AVAIL,PORSCHE
Mercedes-Benz SL-Class SL350 (COE till 01/2033),271446,29146,1/24/2013,2012,99041,3480,Auto,90489,119058,108106,119058,3498,225,1685,Sports Car,SOLD,MERCEDES-BENZ
Subaru Forester 2.0A XT Sunroof,54833,14608,9/2/2016,2016,96954,1210,Auto,29679,20010,56500,20014,1998,177,1682,SUV,AVAIL,SUBARU
Mitsubishi Fuso Canter FEB21,127800,12830,3/31/2023,2022,31948,854,Manual,50776,33020,51000,1651,2998,100,2220,Truck,AVAIL,MITSUBISHI
Renault Grand Scenic Diesel 1.5A dCi Sunroof,29500,16470,7/31/2014,2013,141330,1048,Auto,17208,24710,62890,16594,1461,81,1522,MPV,AVAIL,RENAULT
Renault Megane Sedan Diesel 1.5A dCi Sunroof,52888,13290,1/31/2017,2016,84501,1048,Auto,22532,19990,50889,5000,1461,81,1320,Mid-Sized Sedan,AVAIL,RENAULT
Honda Vezel 1.5A S,49049,15723,10/6/2015,2015,86222,682,Auto,25173,20818,58700,16146,1496,96,1210,SUV,SOLD,HONDA
Land Rover Discovery Sport 2.0A Si4 SE 7-Seater,103800,18910,4/21/2017,2016,109200,1212,Auto,60952,45658,54405,55922,1999,177,1841,SUV,AVAIL,LAND-ROVER
Audi A3 Sedan 1.4A TFSI Ambiente,40800,16700,4/14/2015,2014,131000,624,Auto,21766,27195,67749,15073,1395,92,1310,Luxury Sedan,AVAIL,AUDI
Mazda 3 1.5A Deluxe Sunroof,38888,14030,8/17/2015,2015,116319,682,Auto,20477,17287,56209,12287,1496,88,1321,Mid-Sized Sedan,AVAIL,MAZDA
Mercedes-Benz GLC-Class GLC300 Coupe 4MATIC,268800,28680,5/19/2021,2020,15000,1202,Auto,103686,56414,60001,73546,1991,190,1795,SUV,AVAIL,MERCEDES-BENZ
Hyundai Elantra 1.6A GLS S,66261,13498,6/21/2017,2017,64933,738,Auto,28830,12933,45201,12933,1591,94,1345,Mid-Sized Sedan,SOLD,HYUNDAI
Kia Cerato K3 1.6A,90000,22610,12/12/2016,2016,93000,738,Auto,28381,14723,51507,14723,1591,96,1295,Mid-Sized Sedan,AVAIL,KIA
Porsche 911 Carrera Coupe 3.4A PDK (COE till 07/2032),327999,35280,10/24/2012,2012,83257,3375,Auto,90307,119082,97176,119082,3436,257,1475,Sports Car,AVAIL,PORSCHE
Audi A3 Sedan 1.0A TFSI S-tronic,88762,15576,10/19/2017,2017,59016,392,Auto,33126,24475,41761,16265,999,85,1280,Luxury Sedan,SOLD,AUDI
BMW X2 sDrive20i M-Sport X,163800,19310,6/15/2020,2020,30200,1210,Auto,61401,42060,32500,50884,1998,141,1460,SUV,AVAIL,BMW
Hyundai Avante 1.6A GLS S,85620,13025,2/10/2020,2019,62240,738,Auto,30415,14802,35010,14802,1591,94,1345,Mid-Sized Sedan,SOLD,HYUNDAI
Audi A7 Sportback 3.0A TFSI Quattro,83800,31720,6/24/2014,2013,120000,2380,Auto,58567,66859,65700,92347,2995,228,1860,Luxury Sedan,AVAIL,AUDI
BMW 3 Series 328i Sunroof,55800,23530,7/10/2014,2012,123914,1210,Auto,38588,44081,73810,53714,1997,180,1530,Luxury Sedan,AVAIL,BMW
Opel Insignia Grandsport Diesel 1.6A Turbo,108079,15561,4/17/2018,2017,73779,1182,Auto,43974,27089,37605,29925,1598,100,1447,Luxury Sedan,AVAIL,OPEL
BYD T3 Electric,105800,10900,12/30/2022,2022,26939,742,Auto,57533,23078,59271,1154,1719,106,1620,Van,AVAIL,BYD
BMW 5 Series 520i (New 10-yr COE),136980,13690,5/27/2013,2013,114650,1210,Auto,54715,41044,65515,44462,1997,135,1610,Luxury Sedan,AVAIL,BMW
Jeep Compass Limited 1.4A,114800,15140,8/15/2019,2018,30000,608,Auto,53770,32812,40512,37937,1368,125,1683,SUV,AVAIL,JEEP
Jaguar F-Type 2.0A Coupe R-Dynamic,450000,44730,3/21/2022,2022,3900,1210,Auto,160492,71680,94889,101024,1997,221,1596,Sports Car,AVAIL,JAGUAR
Lamborghini Gallardo LP560-4 (COE till 10/2031),348800,40820,12/30/2011,2011,58000,7001,Auto,51755,194873,60586,194873,5204,412,1575,Sports Car,AVAIL,LAMBORGHINI
Mercedes-Benz CLA-Class CLA180 Coupe AMG Line,143758,20003,3/31/2022,2022,51360,586,Auto,65707,34163,63000,39829,1332,96,1410,Luxury Sedan,SOLD,MERCEDES-BENZ
Audi A3 Sportback 1.0A TFSI S-tronic,95800,15920,6/30/2018,2018,50278,392,Auto,37129,24173,34110,25843,999,85,1275,Hatchback,AVAIL,AUDI
Mercedes-Benz E-Class E200 Avantgarde,122777,21410,6/21/2017,2017,90128,1202,Auto,67786,52579,50621,66643,1991,135,1605,Luxury Sedan,AVAIL,MERCEDES-BENZ
BMW 2 Series 216d Active Tourer,53800,15200,2/24/2016,2015,122000,1082,Auto,24703,27652,43000,20713,1496,85,1395,Hatchback,AVAIL,BMW
