model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,types,status,posted_date,updated_date,maker
Audi S4 3.0A TFSI Quattro S-tronic (COE till 08/2029),108800,17060,2009-10-06,2009,166000,3332,Auto,25472,62346,39936,62346,2995,245,1685,Sports Car,AVAIL,2023-04-15,2023-04-15,AUDI
Subaru Forester 2.0i-L Sunroof,63368,15194,2017-04-28,2017,93852,1208,Auto,26761,14556,50621,14556,1995,110,1591,SUV,SOLD,2023-03-24,2023-04-16,SUBARU
Toyota Mark X 2.5A (COE till 05/2026),44000,14090,2006-06-08,2006,172000,2697,Auto,14369,29495,46048,32445,2499,158,1500,Luxury Sedan,AVAIL,2023-04-04,2023-04-15,TOYOTA
Toyota Hiace 3.0M,85800,11050,2021-01-19,2020,43313,453,Manual,19602,28235,25255,1412,2982,92,1700,Van,AVAIL,2023-04-13,2023-04-13,TOYOTA
Kia Cerato 1.6A SX,89800,14430,2018-11-19,2018,21725,738,Auto,29552,18186,28457,18186,1591,94,1287,Mid-Sized Sedan,AVAIL,2023-04-07,2023-04-15,KIA
BMW 3 Series 320i Efficient Dynamics,47800,19800,2014-11-28,2014,103200,742,Auto,29131,35428,73900,31600,1598,125,1410,Luxury Sedan,AVAIL,2023-04-07,2023-04-17,BMW
Mercedes-Benz EQA250+ Electric AMG Line Premium,282988,27390,2023-02-10,2022,38,1736,Auto,111445,55956,116577,27721,1837,140,2045,SUV,AVAIL,2023-04-17,2023-04-17,MERCEDES-BENZ
Kia Cerato Forte 1.6A SX (COE till 03/2024),10800,11300,2009-10-09,2009,172763,1033,Auto,2434,13930,12763,13930,1591,93,1251,Mid-Sized Sedan,AVAIL,2023-04-12,2023-04-12,KIA
Toyota Vios 1.5A E (COE till 06/2023),3388,11462,2008-06-30,2008,236000,1026,Auto,764,12344,19107,12344,1497,80,1095,Mid-Sized Sedan,AVAIL,2023-04-17,2023-04-17,TOYOTA
BMW 3 Series 318i M-Sport,123800,19030,2018-08-17,2018,90000,684,Auto,51703,37489,34381,44485,1499,100,1425,Luxury Sedan,AVAIL,2023-03-31,2023-04-11,BMW
Honda Fit 1.3A G (COE till 08/2023),19297,11459,2008-08-14,2008,161871,885,Auto,5440,11667,17099,11667,1339,73,1010,Hatchback,SOLD,2023-04-01,2023-04-01,HONDA
Volvo XC90 T5 Momentum,133888,27290,2016-10-21,2016,85990,1176,Auto,68922,57802,55501,76044,1969,187,2053,SUV,AVAIL,2023-04-15,2023-04-15,VOLVO
Mazda CX-3 2.0A Standard,89800,12390,2019-10-29,2018,74000,1210,Auto,36739,17631,37912,17631,1998,115,1290,SUV,AVAIL,2023-04-08,2023-04-08,MAZDA
Mitsubishi Fuso Fighter FK62,57800,24310,2015-09-02,2015,105176,769,Manual,9512,48501,40046,2426,7545,99,5620,Truck,AVAIL,2023-04-06,2023-04-15,MITSUBISHI
Toyota Corolla Altis 1.6A Elegance,86439,13633,2019-01-25,2018,72372,742,Auto,27889,21858,25000,22602,1598,96,1230,Mid-Sized Sedan,SOLD,2023-04-15,2023-04-17,TOYOTA
Land Rover Defender 90,118888,31350,2017-01-31,2015,129000,868,Manual,18808,55225,49638,2762,2198,95,1760,Truck,AVAIL,2023-04-10,2023-04-10,LAND-ROVER
Toyota Camry 2.5A,121800,15810,2019-10-04,2019,59345,1784,Auto,52545,33579,36001,39011,2487,154,1545,Luxury Sedan,AVAIL,2023-04-14,2023-04-17,TOYOTA
Volkswagen Passat 1.8A TFSI,96800,14120,2018-11-30,2018,89000,976,Auto,44037,30535,32000,34749,1798,132,1480,Luxury Sedan,AVAIL,2023-04-05,2023-04-13,VOLKSWAGEN
