car_id,model,price,depreciation,mileage,road_tax,deregistration_value,coe,curb_weight,power,features,accessories,descriptions,age_of_car,years_since_launch,transmission_Auto,transmission_Manual,number_of_owner_More than 6,types_Hatchback,types_Luxury Sedan,types_MPV,types_Mid-Sized Sedan,types_SUV,types_Sports Car,types_Stationwagon,types_Truck,types_Van
1,Alfa Romeo 159 2.2A JTS Selespeed ,92800.0,12030.0,84721.0,1880.0,31389.0,40714.0,1490.0,136.0,"Features Alfa Romeo's 2.2L 182bhp 230nm engine. 6-speed selespeed auto, 8 x airbags, engine push start stop, auto headlights, cruise control. View specs of the Alfa Romeo 159 (2005-2012)",Accessories Factory fitted audio and black leather electrical seats. Auto light sensors and side retractable mirror. Novitec exhaust with original certificate.,"Description 2 owners, only 84721km done. Original paint since day 1. Fully serviced and maintained by agent Euro automobile. STA/ workshop inspection welcomed. $0 downpayment/100% in house/bank loan welcomed with guaranteed loan approval at the lowest interest. Trade in welcome. Call us to view and test drive this beauty at our showroom.",12.287806738920727,13.0,1,0,0,0,1,0,0,0,0,0,0,0
2,Alfa Romeo 4C Coupe 1.8T,288000.0,128430.0,33888.0,910.0,71597.0,70890.0,920.0,177.0,Features 1.75L Inline 4 Cylinder Turbocharged Engine Producing 240Bhp. 6 Speed Dual Clutch Transmission. 0-100km/h In 4.5s. Full Carbon Tub. Lightweight 900kg. View specs of the Alfa Romeo 4C (2014-2016),Accessories Novitec Coilovers. GMS Turbo Intercooler Pipe. GMS Engine Mount. GMS Front Camber/Caster. GMS Rear Sport Arms. Tarox Brake Disc/Pads. Etc.,"Description Only 2 Units In SG. Launch Edition With Exposed Carbon Headlamps. Lots Of Added On Parts To Improve Performance And Drivability. Very Raw Driving Experience And Beautiful Aural Tone From Intake And Exhaust. Carbon Diffuser, Carbon Air Scoops, Carbon Front Grille Trims. Carbon Door Handles. Make An Appointment Now To View!",8.18369714987963,9.0,1,0,0,0,0,0,0,0,1,0,0,0
3,Alfa Romeo Giulia 2.0A Veloce,123800.0,19960.0,90000.0,1208.0,72122.0,50000.0,1504.0,206.0,Features Powered by a 2.0l turbocharged veloce engine. Mated to an 8 speed ZF transmission. 278hp and 400nm of torque. 0 - 100km/hr in 5.2s. RWD. View specs of the Alfa Romeo Giulia (2017-2019),"Accessories Keyless entry,start/stop,paddle shifters,harmon kardon sound theatre,8.8"" touch display, carplay/android compatible,lane assist,blind spot monitoring.","Description Full servicing record with agent since day 1. Excellent condition. 100% accident free. Like new. Shelter parked. Highest trade-in. Standard/high bank loan, in house loan. 100% loan available. 1 day loan approval. Test drive at balestier office.",5.600135506044013,6.0,1,0,0,0,0,0,0,0,1,0,0,0
4,Alfa Romeo Giulietta 1.4A Turbo ,86800.0,9690.0,136545.0,669.0,53018.0,59179.0,1310.0,125.0,Features Sporty and classy Italian 5d hatchback with large boot space. Powered by reliable 1.4l multiair turbocharged engine producing 167bhp. View specs of the Alfa Romeo Giulietta (2012-2020),"Accessories Alfa Romeo 4 pots front BBK. Alfa Romeo horse shoe rims. Eibach Lowering springs. Air intake system, Turbo Swoosh","Description Full Agent Service! Well Maintain By Meticulous Owner! Owner Second Car, Under Utilise! Below 10k Depre! 20k Worth of Wear and Tear Parts replaced recently. New Coilpack and Spark plugs too. New paintwork. Strictly by Appointment! Flexible Loans Available!",10.641231396454973,11.0,1,0,0,1,0,0,0,0,0,0,0,0
5,Alfa Romeo Stelvio 2.0A Veloce,243800.0,25020.0,7800.0,1208.0,95082.0,58089.0,1755.0,206.0,"Features 2.0L 4cyl Turbocharged Engine, 280bhp, 400nm of Torque, 5.7s 0-100km/h. Top Speed of 230km/h, Alfa DNA Drive Mode, ZF 8 Speed Automatic Transmission. View specs of the Alfa Romeo Stelvio (2018)","Accessories Full Panoramic roof, 8.8"" touch screen display with 3D navigation, Apple CarPlay, Android Auto, wireless charging, HK sound system, 20"" alfa dial rims","Description 1 Owner, Full Records & Maintenance With EA Agent, Warranty and Servicing To 100K Till Oct 2026, Beautiful Metallic Black With Red Leather Interior Classic Combination, Facelifted 2021 Veloce Unit With Touch Screen and Apple CarPlay, Do Drop By The Showroom To View This Stunning Alfa Romeo Stelvio, Another Pristine Preowned Vehicle From Orchard Credit.",1.4768478348111365,2.0,1,0,0,0,0,0,0,1,0,0,0,0
6,Alpine A110 1.8A,196800.0,26220.0,48000.0,976.0,79229.0,48010.0,1086.0,185.0,Features 1.8L 4 cylinders inline turbocharger engine with RWD 7 speed DCT transmission producing 248bhp and max torque 320nm. 0-100kph 4.5s. Top speed 250kph. View specs of the Alpine A110 (2019),"Accessories Multi function leather steering wheel with shifters, keyless entry, LED headlamps, reverse camera with parking sensors, focal premium speakers.","Description 1 owner limited edition Singapore series 1 of 11. Full agent serviced with warranty. Guaranteed accident free all round. Original paint. Aluminum lightweight chassis weighting only 1098kg with perfect mid engine configuration. Bucket seats with leather/Alcantara, engine calibration with driving mode selector (normal/sport/track). Flexible financing. High loan/trade in/scrap welcome.",3.756299889605657,4.0,1,0,0,0,0,0,0,0,1,0,0,0
7,Alpine A110 1.8A Atelier Pure,268800.0,25780.0,2600.0,976.0,127939.0,79601.0,1099.0,185.0,"Features Original Alpine Atelier ""Vert Normand"" 08/110 in the world, only one in Singapore. Be seen in something unique with Alpine F1 team heritage! View specs of the Alpine A110 (2019)","Accessories The A110 Pure is the perfect sports car for local roads.1100kg equates to lithe, agile handling, turbocharge power for hectic cut and thrust traffic.","Description Not impacted by the price increase from ARF changes in budget 2023. A unique mid-engined sport car, offering low depreciation, road tax and running costs - yet stunning on the roads, and much more exclusive than its competitors. Former multiple super car owner that hardly uses his cars; rare to find such a low mileage example. 5 years factory warranty with Alpine center Singapore.",1.0494505745371638,2.0,1,0,0,0,0,0,0,0,1,0,0,0
8,Aston Martin DBX 4.0A,698000.0,69480.0,4500.0,3922.0,260734.0,45001.0,2245.0,405.0,"Features 4L V8 twin turbo 543bhp 700nm, 0-100km in 4.5s, top speed at 291km/h, 9speed automatic gearbox, adaptive dampers & triple chamber air springs, AWD.","Accessories Am designer key, 360 parking camera, navigation, lane assist, blind spot information, adaptive cruise control, Ventilated Seats.",Description Timeless Certified Pre-owned Aston Martin DBX in immaculate condition. Magnetic Silver on Chancellor red interior. The DBX delivers on both style and performance. Call to make an appointment to view.,2.12342317727689,3.0,1,0,0,0,0,0,0,0,1,0,0,0
9,Aston Martin Rapide S 6.0A,500800.0,68860.0,58000.0,6976.0,253836.0,44000.0,1990.0,412.0,Features British Engineered Power Plant 6.0L V12 Producing 552bhp And Max Torque Of 620nm. 0-100km/h In 4.9secs And Top Speed Of 306km/h. View specs of the Aston Martin Rapide S (2013-2018),"Accessories Full Purple Interior Leather With Electronic Memory Seats. Bluetooth, Bang And Olufsen Audio. Parking Camera/sensors. Multi Function Steering Wheel.","Description Monthly $3600. Agent Unit. Rapide S 4 Door Luxury GT With V12 Engine, Using The Finest Leathers, Each Cabin Was Crafted By Hand. One Of The Fastest Production In The Aston Martin Range, This Stunning Coupe Has A Near Perfection Weight Distribution. Definitely A Sexy Car You Should Not Miss! Call Now For An Exclusive Viewing Appointment.",5.15356016357826,8.0,1,0,0,0,0,0,0,0,1,0,0,0
10,Aston Martin V8 Vantage Coupe 4.7M ,204000.0,27970.0,80000.0,6630.0,24472.0,33568.0,1630.0,313.0,Features 4.7L V8 engine 420Hp Rear wheel drive View specs of the Aston Martin V8,Accessories The only rare manual Aston martin vantage,"Description Full loan available, Trade in are welcome",12.7152039991947,13.0,0,1,1,0,0,0,0,0,1,0,0,0
11,Aston Martin V8 Vantage Roadster 4.7A ,195800.0,24100.0,62000.0,6120.0,40372.0,49716.0,1710.0,313.0,"Features 4.7L V8 engine 420bhp and 470nm of torque, rear-wheel drive View specs of the Aston Martin V8","Accessories Aston Martin 19' sports rims, Red color Leather seats, upgraded infotainment android system","Description Improved driving over the older 4.3l model, gorgeous head-turning looks, sporty and affordable! The top comes down in only 23s! $0 driveaway available!",11.893286190975521,15.0,1,0,1,0,0,0,0,0,1,0,0,0
12,Aston Martin Vanquish 6.0A,670000.0,105830.0,15000.0,6976.0,301034.0,48001.0,1739.0,423.0,Features Superb sounding 5.9 V12 engine. Producing 565bhp. 0 to 60 in 4.1 seconds with a top speed of 295km/h. View specs of the Aston Martin Vanquish,Accessories Lightning silver with light tan leather seat upholstery with white contrast stitching.,Description Agent unit. Extended warranty till Sep 2023. Car has been meticulously maintained. One of the best sounding V12S out there in the market. Not many left in Singapore. This is your chance to own one of Aston Martin's beautifully designed supercars. VIEWING BY APPOINTMENT ONLY.,5.567258793715246,7.0,1,0,0,0,0,0,0,0,1,0,0,0
13,Audi A1 1.4A TFSI S-tronic ,84800.0,10620.0,88000.0,744.0,33768.0,42283.0,1125.0,90.0,"Features fuel efficient 1.4L TFSI engine producing 120bhp mated to 7 speed auto S-tronic gearbox, auto headlights. View specs of the Audi A1 (2011-2013)",Accessories Twincharged 185bhp A1 finished in Misano red. Original factory conditions. xenon headlights,Description Low Mileage and Highly sought after. Luxurious and comfortable on the inside. Sporty and sleek on the outside. Interior in pristine condition. STA/workshop evaluation welcome. Full loan and low interest rate available.,12.030272492345384,12.0,1,0,0,1,0,0,0,0,0,0,0,0
14,Audi A1 Sportback 1.0A TFSI S-tronic,77800.0,17250.0,43000.0,392.0,22211.0,42900.0,1165.0,70.0,Features 1L turbo charged TSFI engine. 7 speed S-tronic. All round curtain airbags. Keyless with push start. Eco start stop. Traction control. View specs of the Audi A1 Sportback (2012-2017),Accessories LED DRL. Original factory unit with added on rear camera. Climatic aircon. Cruise control. Multi function steering wheel.,Description Well maintained by previous owner! Very good condition! Low mileage! 100% accident free! High trade in welcome! No repair needed! 100% loan available! 100% loan approval! Call me now to view the car before it's sold!,5.64397112248237,7.0,1,0,0,1,0,0,0,0,0,0,0,0
15,Audi A1 Sportback 1.0A TFSI S-tronic S-Line,134800.0,15900.0,43000.0,392.0,50559.0,45600.0,1200.0,85.0,"Features Powerful, responsive and fuel efficient, 1.0L turbocharged engine, smooth 7 speed S-tronic transmission, traction control, ABS, SRS airbags. View specs of the Audi A1 Sportback (2019-2022)Features 1.0L 3-cylinder turbocharged 7-speed(A) dual-clutch, 113bhp/200nm, 0-100km/h in 9.4s, F/C 18.5km/l. FWD, keyless entry/start/stop, ABS, airbags. View specs of the Audi A1 Sportback (2019-2022)Features Carro certified. 12 months engine and gearbox warranty, no major accidents, no mileage tampering and 5-day money back guarantee. View specs of the Audi A1 (2011-2013)","Accessories LED headlights, S-line exterior, Audi virtual cockpit, 2-zone climate control, reverse camera, Audi drive select, keyless entry & start/stop.Accessories S-line package, virtual cockpit, ambient lighting, MMI with wireless Carplay, LED headlights, Multi-function steering wheel, reverse cam with sensors.Accessories All vehicles have gone through a rigorous 160 point inspection to ensure full transparency of the condition of the vehicle. Enquire to find out more!","Description 5 years warranty by premium automobile till 2026. Road Tax Renewed Till Oct. Lowest depreciation in the market. Free Coating & Polishing! Beautiful LED ambient lighting in the car. Low fuel consumption, High Loan and trade in available.Description 2 owner internal transfer, showroom conditions and no exterior dents! Agent warranty until 2025. Mythos Black exterior with black leather interior. Welcome trade-in/consignment, 100% loan available with 1-day approval. Make an appointment for viewing and test drive.Description Superminis are the perfect car for urban roads. Small, nimble and fuel efficient, the Audi A1 promises exciting drives with surprising practicality all bundled into one nifty little package. Drop by Carro to view the largest fleet in Singapore with 100% transparency on our vehicle condition, financing options, service add-ons and many more.",2.3426012594686707,4.0,1,0,0,1,0,0,0,0,0,0,0,0
