,price,depreciation,registration_date,mileage,road_tax,deregistration_value,coe,engine_cap,curb_weight,manufactured_year,trasmission,omv,arf,power,number_of_owner,type,car_features,car_accessories,descriptions,warranty,category,status
0,"$122,800","$14,410",02-Mar-2012,"124,000 km (11.2k /yr)","$1,331 /yr","$49,541","$58,124","1,997 cc","1,455 kg",2011,Auto,"$43,544","$43,544",180.0 kW (241 bhp),3,Luxury Sedan,"Features BMW 2.0L TwinPower turbo, 241bhp/350nm, 8 speed bulletproof ZF transmission. 10 SRS airbags, cruise control, auto climate control. View specs of the BMW 3 Series Sedan","Accessories Full M3 body kit, front electric memory seats, comfort access, keyless start/stop, multi function sport steering wheel, Bluetooth connectivity iDrive.","Description Int & ext frozen white sprayed, original 19"" BBS rims w PS4S, Ksport coilover, BBK, pedalbox, full M3 bodykit. Engine in full stock condition! All wear & tear done up and regularly serviced! Genuine low mileage. Lady driver and meticulously well taken care of! Parked under shelter daily. Bank/high/loan available! All trade-in welcome! Pre-purchase inspection welcome! Contact us for a viewing now.",CategoryCOE Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
1,"$70,888","$8,840",06-May-2011,"138,743 km (11.7k /yr)",$890 /yr,"$33,208","$41,397","1,598 cc","1,105 kg",2010,Auto,"$23,248","$23,248",90.0 kW (120 bhp),5,Hatchback,"Features 1.6L 4 cylinder 16 valve DOHC, 6 speed (A), ABS, 4 SRS airbags. View specs of the MINI Cooper (2007-2014)","Accessories Original leather seat, sports rim, factory fitted Mini audio with CD player, BT, reverse sensor, knockdown rear seat, fog lights.","Description We are the COE specialists, no gimmicks, honest dealing. low mileage clocked, bank or full loan available! Easy approval, road tax till 05/2023, high trade in offer or consignment options available. STA welcomed, 100% accident free, call our friendly salesman at our showroom for an appointment today. Door step viewing available.","CategoryCOE Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
2,"$70,800","$20,510",17-Mar-2016,"113,500 km (16.2k /yr)",$740 /yr,"$24,458","$43,000","1,595 cc","1,395 kg",2015,Auto,"$23,157","$19,420",90.0 kW (120 bhp),2,Hatchback,Features 1.6L turbo charged engine. 7 speed DCT automatic. Traction control. All round curtain airbags. Drive mode select. Bluetooth connect. Paddle Shifters. View specs of the Mercedes-Benz A-Class,"Accessories A45 Bodykit, Custom Aikka Tri-Color Paint, Ceramic Coating, Stage 1 Tuned, Cold-Air Intake, K-Sport Coilovers, Ambient Lighting, Esatto Sound System.",Description Consignment Unit! Merc Hottest Hatchback For Sale! Wear & Tear Replaced. Get It Now Before Its Gone. Full Loan And Trade-Ins Welcome! Viewing By Appointment Only.,CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
3,"$104,800","$18,600",21-Dec-2017,"54,990 km (10.5k /yr)",$684 /yr,"$48,716","$53,711","1,499 cc","1,430 kg",2017,Auto,"$33,003","$33,205",103.0 kW (138 bhp),1,SUV,"Features Responsive BMW 1.5L 3 Cylinders in line 12 valve, 6 speed auto,138bhp keyless entry/start/stop, both front electric seat, multi zone/rear aircon.","Accessories Sports rims, leather seats, factory built in audio system, bluetooth, reverse sensor/camera, retractable side mirror/indicator, GPS, auto tailgate.","Description 1 owner, very low mileage, fully maintained by agent with proper service records, can verify the authenticity of the mileage with agent, extended warranty provided, low bank loan/easy in house finance with attractive interest rate, super well taken care by previous owner in pristine condition, high trade in, after sales service support by our in house workshop, all dealers welcome.",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
4,"$109,800","$24,910",07-Dec-2016,"80,396 km (12.8k /yr)","$1,210 /yr","$43,831","$56,889","1,998 cc","1,400 kg",2016,Auto,"$34,319","$35,047",135.0 kW (181 bhp),2,Sports Car,"Features 2.0L F22 inline 4 16 valves turbocharged engine producing 181 bhp with 270 nm torque, RWD, sunroof, keyless ignition and BMW drive select. View specs of the BMW 220i","Accessories Premium Leather Seat,sunroof,18"" forged rims, full M2 bodykit, carbon fibre trims, Full exhaust system,","Description In house loan available. Flexible and easy loan approval. Interest rate from 2.48%. Rare and powerful unit with twin turbo producing 181bhp. Immaculate condition and maintained regularly by careful owner. Genuine low mileage. Cheapest in the market, lowest depreciation! Trade in welcome. For viewing pls call.","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out moreCar Valuation - FreeFind out the market value of your existing car for free. Get started
5,"$149,800","$24,780",27-Mar-2017,"69,068 km (11.5k /yr)","$1,210 /yr","$91,805","$52,600","1,998 cc","1,680 kg",2016,Auto,"$71,708","$101,075",190.0 kW (254 bhp),2,Luxury Sedan,"Features BMW G12 7 series powered by TwinPower turbocharged engine producing 254bhp/400nm, 8 speeds Steptronic transmission, keyless entry, auto LED headlight.","Accessories Original 18"" sport rims, BMW connected drive with high performance sound system, Bluetooth, gps navigator, 360 view reverse camera, suction doors.","Description PML Unit, Beautiful White BMW 730LI Genuine lowest mileage clocked 69068km with Full PML service record, 360 view reverse camera, well maintained by previous owner! Full loan of car price with high trade in available. Price negotiable. Call now or visit our showroom today.",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
6,"$61,800","$17,540",15-Jan-2016,N.A.,"$1,196 /yr","$32,092","$60,789","1,986 cc","1,610 kg",2015,Auto,"$27,148","$25,008",111.0 kW (148 bhp),2,SUV,"Features 2.0L Inline 4 Cylinder 16 Valve DOHC Engine. CVT Auto Transmission, Producing 148bhp, Multi Function Steering, Keyless Entry/start And Stop. View specs of the Toyota Harrier (2014-2021)","Accessories luxurious leather seats, Pioneer touchscreen DVD audio systems with bt/rev.cam, auto retractable side mirrors, UV Film, fog lamps, dashcam.","Description Low mileage. Superb condition with zero repairs needed, no gimmicks, one of the best daily commute and cheapest in the market. 24/7 breakdown recovery service. We welcome STA or pre-purchase inspection. Reputable company with good track records, check out our reviews too! Contact us now before its gone!","CategoryPARF Car, Premium Ad Car",StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
7,"$10,800","$11,260",10-Mar-2009,"178,000 km (12.7k /yr)","$1,033 /yr","$2,448","$12,763","1,591 cc","1,251 kg",2009,Auto,"$13,512","$13,512",92.7 kW (124 bhp),4,Mid-Sized Sedan,"Features 1.6L DOHC 16V 4 cylinders dual CVVT engine producing 124bhp, 4 speed auto transmission, ABS, SRS, traction control, digital climate aircon control. View specs of the Kia Cerato Forte (2009-2013)","Accessories Premium leather upholstery, original rims, fog lights, factory fitted audio system, retractable side mirrors and reverse sensor/camera.",Description Pristine condition! Full service and all wear and tear parts done up at platinum motoring in house workshop! Selling Cheap! 100% loan available from 2.28% per annum! 1 to 1 exchange without cash top up! Hurry and call our friendly sales adviser for more information before it's sold! Best price guaranteed.,"This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","COE Car, Premium Ad Car, Sgcarmart Warranty Cars",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
8,"$60,800","$15,650",13-May-2016,"91,400 km (13.3k /yr)","$1,210 /yr","$30,014","$47,000","1,997 cc","1,626 kg",2016,Auto,"$22,509","$23,513",106.0 kW (142 bhp),2,SUV,"Features Rare 7-seater SUV, 2.0 powerful engine, CVT auto transmission, Panoramic glass roof, LED headlight, electric memory tailgate View specs of the Nissan X-Trail (2014-2021)","Accessories Android car play, multi-function steering wheel, keyless entry,reverse camera, electric seat, factory alloy rims","Description Newly upgraded android entertainment system, number 1 safety with adaptive 4WD features, superb road holding, very very rare 7-seater SUV, spacious leg room, well maintained by the previous owner, contact our friendly advisor to view today!",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
9,"$59,800","$13,450",31-Oct-2016,"121,000 km (18.9k /yr)",$620 /yr,"$32,749","$50,000","1,390 cc","1,417 kg",2015,Auto,"$21,906","$22,669",90.0 kW (120 bhp),2,Mid-Sized Sedan,"Features 1.4l powerful 4 cylinders TSI engine, 7-speed DSG auto with paddle shifters, airbags, ABS, LED DRL, keyless entry/start/stop, knockdown rear seats. View specs of the Volkswagen Jetta (2011-2017)","Accessories Leather seat, sports rim, factory large LCD screen with gps/Bluetooth/telephony, reverse camera/sensor, solar film, fog light, rear aircon, Sunroof.","Description Rare highest spec jetta sportline, guaranteed best condition pearl white Sunroof jetta, takes extremely good care of the car, unit parked under shelter and well maintained. This beast does not just look beautiful, it's accident free & no repair needed. View to believe! Financing possible! Trade in welcome call/SMS to arrange a viewing today!",CategoryPARF Car,StatusAvailable for sale. Shortlist this car to get alerted whenever the price or availability changes.,ResourcesSgcarmart Used Car WarrantyGet $0 future car repair bill. Ask your dealer for a warranty on this car. Learn moreCar Valuation - FreeFind out the market value of your existing car for free. Get startedVehicle EvaluationAfraid of lemons? Request to have this car evaluated professionally. Find out more
