model,price,depreciation,registration_date,manufactured_year,mileage,road_tax,transmission,deregistration_value,omv,coe,arf,engine_cap,power,curb_weight,number_of_owner,types,features,accessories,descriptions,category,status
Subaru Forester 2.0i-L Sunroof,N.A,N.A,28-Apr-2017,2017,N.A.,"$1,208 /yr",Auto,N.A.,"$14,556","$50,621","$14,556","1,995 cc",110.0 kW (147 bhp),"1,591 kg",1,SUV,"Features 2.0l 4 Cylinders DOHC Horizontally Opposed Engine, CVT Lineartronic Transmission, Hid Headlamps, LED Daytime Running lights, Front Foglamps, AWD. Vie View specs of the Subaru Forester (2013-2019)","Accessories Leather Electric Seats, Panoramic Sunroof, Keyless Entry/Start, Paddle Shifters, Reverse Camera, Cruise Control, Auto headlamps, Multi Zone Aircon",Description Fully agent maintained. Free 3 years inhouse engine and gearbox warranty available. Free 3 years servicing. High trade in value. Full loan package offer. Call our friendly sales consultant today!,CategoryPARF Car,SOLD
Toyota Hiace 2.8A DX,"$90,800","$11,580",18-Feb-2021,2020,N.A.,N.A.,Auto,"$26,900","$35,445","$34,306","$1,773","2,754 cc",1,"1,800 kg",1,Van,Features View specs of the Toyota Hiace,NA,Description Hiace auto diesel with rear aircon.,CategoryPremium Ad Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Toyota Mark X 2.5A (COE till 05/2026),"$44,000","$14,090",08-Jun-2006,2006,"172,000 km (10.2k /yr)","$2,697 /yr",Auto,"$14,369","$29,495","$46,048","$32,445","2,499 cc",158.0 kW (211 bhp),"1,500 kg",4,Luxury Sedan,"Features No dealers, no consignment. Negotiable but no low ballers please. Car maintained by SKM. Loan and insurance can be arranged if you need. View specs of the Toyota Mark X (2005-2011)","Accessories 211hp, 260nm torque, 4.1 final drive, 0-100 at 7.8 seconds, V6 rear wheel drive luxury sedan, electric seats, huge boot space and big leg room.","Description Easy maintenance 4GR-FSE, custom intake (stock available), Rota 18 inch rims, H&R lowering springs, upgraded Sumitomo 4 pot front brakes, Pioneer 8750 head unit, hella super tone horn, aftermarket front grill and last but not least, 3 digit running order bidded number plate. Pm for more info.","CategoryCOE Car, Direct Owner Sale",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato 1.6A SX,"$89,800","$14,430",19-Nov-2018,2018,"21,725 km (4.9k /yr)",$738 /yr,Auto,"$29,552","$18,186","$28,457","$18,186","1,591 cc",93.8 kW (125 bhp),"1,287 kg",1,Mid-Sized Sedan,"Features 4 cylinder inline 16 valve DOHC dual CVVT engine, 6 speed auto, airbags, ABS, cruise control, auto LED headlights with DRL, sunroof, keyless entry. View specs of the Kia Cerato (2018-2021)","Accessories Sports rims, reverse camera/sensors, drive mode select, multi steering control, Android Auto/Apple CarPlay.",Description 100% loan available. Agent maintained. Come and view now. Highest specs with Sunroof. Everything you need packed in a sedan. Trade in welcome.,"CategoryPARF Car, Low Mileage Car",Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 320i Efficient Dynamics,"$47,800","$19,800",28-Nov-2014,2014,"103,200 km (12.3k /yr)",$742 /yr,Auto,"$29,131","$35,428","$73,900","$31,600","1,598 cc",125.0 kW (167 bhp),"1,410 kg",2,Luxury Sedan,"Features BMW 1.6L inline 4 cylinders TwinPower turbocharged engine producing 167bhp, 270nm of torque. 8 speed (A) Steptronic transmission. View specs of the BMW 320i","Accessories BMW iDrive, comfort access with keyless start. Cruise control, Bluetooth phone/AUX, LED DRL, multi function steering, auto headlights/rain sensors.","Description Guarantee buy back at $20,000 by Nov 2024, 100% loan and balloon scheme available immaculate condition and accident free with very low mileage, highest trade in!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Kia Cerato Forte 1.6A SX (COE till 03/2024),"$10,800","$11,300",09-Oct-2009,2009,N.A.,"$1,033 /yr",Auto,"$2,434","$13,930","$12,763","$13,930","1,591 cc",92.7 kW (124 bhp),"1,251 kg",2,Mid-Sized Sedan,"Features 1.6L DOHC 16V 4 cylinder dual CVVT engine producing 124bhp, 6 speed auto transmission, airbags, ABS. View specs of the Kia Cerato","Accessories Factory fitted audio system with steering controls, leather seats, reverse sensors.",Description Bank or in house loan available. Call for more enquiries! We open Monday to Saturday 10 am to 7 pm. Please call us for appointment on Sunday and public holiday. Thank you!,CategoryCOE Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
BMW 3 Series 318i M-Sport,"$123,800","$19,030",17-Aug-2018,2018,"90,000 km (19.3k /yr)",$684 /yr,Auto,"$51,703","$37,489","$34,381","$44,485","1,499 cc",100.0 kW (134 bhp),"1,425 kg",2,Luxury Sedan,"Features BMW 1.5l twin-turbo engine, 134bhp, 8 speed Steptronic (a) transmission, eco/comfort/sport mode, LED auto headlights, keyless start/entry, ABS. View specs of the BMW 318i","Accessories M-Sport bodykit/steering, 18"" m sports rims, electric memory seats, BMW iDrive, BMW front & rear camera, front & reverse camera/all round sensors.","Description Nice original paintwork, fully maintained and serviced by PML. Vehicle in original condition! Low mileage! No modifications done! Flexible financing available up to 100% loans. Do not miss this unit! Contact us for more enquiries/arrange a non obligatory viewing today!",CategoryPARF Car,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
Honda Fit 1.3A G (COE till 08/2023),N.A,N.A,14-Aug-2008,2008,N.A.,$885 /yr,Auto,N.A.,"$11,667","$17,099","$11,667","1,339 cc",73.0 kW (97 bhp),"1,010 kg",5,Hatchback,"Features 1.3L fuel efficient 4 cylinders inline 16v I-VTEC engine, powerful 5 speed CVT auto engine. 98 bhp. Torque at 127Nm. Fuel consumption at 15.8km/l. View specs of the Honda Fit (2008-2013)","Accessories Leather seats, brand new sports rims and brand new tyres, reverse camera and sensors, retractable side mirrors, Pioneer touch screen audio player.","Description All wear and tear taken care of! Short term unit, Call now for immediate viewing arrangement, Cheaper than rental plus get back body price, still in very smooth and good driving condition to drive till the end.",CategoryCOE Car,SOLD
Mazda CX-3 2.0A Standard,"$89,800","$12,390",29-Oct-2019,2018,"74,000 km (21.3k /yr)","$1,210 /yr",Auto,"$36,739","$17,631","$37,912","$17,631","1,998 cc",115.0 kW (154 bhp),"1,290 kg",1,SUV,"Features Responsive 2.0L SkyActiv-G 154bhp Engine, Reliable Smooth 6 Speed Auto Transmission, Airbags, Auto Headlight/rain Sensors, Keyless Start/stop. View specs of the Mazda CX-3 (2018)","Accessories Factory Fitted Audio Player, Retractable Side Mirrors, Multi Function Steering Control, Rain Sensing, Auto Headlights.","Description Viewing strictly by appointment only! 1 owner only. Fully serviced and maintained by agent Eurokars. Servicing just done in July. Pristine condition, no further repairs needed. Provide 1 year comprehensive warranty upon purchase. Flexible loan package, lowest interest from 2.78%.","This car comes with 6-mth Sgcarmart Warranty, the best protection for your car.Ask the dealer to activate the warranty to start the coverage.$0 Repair BillsComprehensive Vehicle Inspection","CategoryPARF Car, Sgcarmart Warranty Cars"
Mitsubishi Fuso Fighter FK62,"$57,800","$24,310",02-Sep-2015,2015,N.A.,N.A.,Manual,"$9,512","$48,501","$40,046","$2,426","7,545 cc",1,"5,620 kg",1,Truck,Features View specs of the Mitsubishi Fuso Canter Diesel (2015),Accessories Wooden Deck. Retractable Canopy. Carry 6.2Ton.,Description New Paintwork. Servicing Done. Well Maintenance. High Loan Available. High Trade In. Call Now For Viewing.,Category -,Available for sale. Shortlist this car to get alerted whenever the price or availability changes.
